"beserver","timestamp","durationmin","durationmax","durationavg"
"VI1PR0402MB3646","06.03.2018 13:32:25","386,5109","452,201","412,8508"
"VI1PR0402MB3646","06.03.2018 13:32:35","369,1626","448,7712","416,47995"
"VI1PR0402MB3646","06.03.2018 13:32:46","387,8168","1052,8737","565,58746"
"VI1PR0402MB3646","06.03.2018 13:32:56","403,5637","458,0882","427,45375"
"VI1PR0402MB3646","06.03.2018 13:33:06","361,0322","476,3444","427,47761"
"VI1PR0402MB3646","06.03.2018 13:33:16","398,3042","538,8762","465,66"
"VI1PR0402MB3646","06.03.2018 13:33:28","305,7667","1212,8156","608,9187"
"VI1PR0402MB3646","06.03.2018 13:33:38","316,5467","613,8285","473,68453"
"VI1PR0402MB3646","06.03.2018 13:33:48","374,863","518,4161","448,49533"
"VI1PR0402MB3646","06.03.2018 13:33:58","314,989","552,5156","382,77057"
"VI1PR0402MB3646","06.03.2018 13:34:08","316,1966","438,8182","380,62211"
"VI1PR0402MB3646","06.03.2018 13:34:18","380,6791","446,2397","412,08873"
"VI1PR0402MB3646","06.03.2018 13:34:28","360,3627","463,8139","421,55902"
"VI1PR0402MB3646","06.03.2018 13:34:38","310,4693","493,8824","394,67542"
"VI1PR0402MB3646","06.03.2018 13:34:48","313,665","572,3102","446,66361"
"VI1PR0402MB3646","06.03.2018 13:34:58","439,1735","574,5484","486,45035"
"VI1PR0402MB3646","06.03.2018 13:35:08","355,1813","544,4464","458,09578"
"VI1PR0402MB3646","06.03.2018 13:35:18","345,4194","476,7656","431,11559"
"VI1PR0402MB3646","06.03.2018 13:35:29","306,7082","1954,4941","566,6172"
"VI1PR0402MB3646","06.03.2018 13:35:39","305,4422","322,4788","309,69353"
"VI1PR0402MB3646","06.03.2018 13:35:49","303,4741","329,1807","308,35864"
"VI1PR0402MB3646","06.03.2018 13:35:59","305,9065","320,4617","309,80963"
"VI1PR0402MB3646","06.03.2018 13:36:09","305,0803","312,2057","307,9843"
"VI1PR0402MB3646","06.03.2018 13:36:19","305,625","322,1153","311,71636"
"VI1PR0402MB3646","06.03.2018 13:36:29","304,3737","309,1876","306,24363"
"VI1PR0402MB3646","06.03.2018 13:36:39","305,852","696,214","355,12463"
"VI1PR0402MB3646","06.03.2018 13:36:49","305,3132","317,202","308,35761"
"VI1PR0402MB3646","06.03.2018 13:36:59","305,2717","322,1863","308,65479"
"VI1PR0402MB3646","06.03.2018 13:37:09","304,9685","349,8579","311,41485"
"VI1PR0402MB3646","06.03.2018 13:37:19","304,3962","340,6889","310,9256"
"VI1PR0402MB3646","06.03.2018 13:37:29","304,0319","319,2065","307,00556"
"VI1PR0402MB3646","06.03.2018 13:37:39","304,1223","316,5585","308,86802"
"VI1PR0402MB3646","06.03.2018 13:37:49","304,0914","548,6094","337,60945"
"VI1PR0402MB3646","06.03.2018 13:37:59","304,2549","338,8573","311,73575"
"VI1PR0402MB3646","06.03.2018 13:38:09","304,8845","316,375","309,33585"
"VI1PR0402MB3646","06.03.2018 13:38:19","303,9036","314,7779","310,28491"
"VI1PR0402MB3646","06.03.2018 13:38:29","303,4421","309,0056","306,26647"
"VI1PR0402MB3646","06.03.2018 13:38:39","304,1325","310,7728","307,64289"
"VI1PR0402MB3646","06.03.2018 13:38:49","304,3378","335,4937","309,29718"
"VI1PR0402MB3646","06.03.2018 13:38:59","305,0064","931,7414","388,54945"
"VI1PR0402MB3646","06.03.2018 13:39:09","304,5979","460,3062","322,42421"
"VI1PR0402MB3646","06.03.2018 13:39:19","305,0728","331,2199","310,26865"
"VI1PR0402MB3646","06.03.2018 13:39:29","305,8311","322,2309","312,26406"
"VI1PR0402MB3646","06.03.2018 13:39:39","303,7844","318,3562","308,43702"
"VI1PR0402MB3646","06.03.2018 13:39:49","304,1839","321,8476","309,69267"
"VI1PR0402MB3646","06.03.2018 13:39:59","302,9246","607,9413","385,279"
"VI1PR0402MB3646","06.03.2018 13:40:09","303,9624","311,4952","307,14077"
"VI1PR0402MB3646","06.03.2018 13:40:19","303,1598","313,9742","307,33326"
"VI1PR0402MB3646","06.03.2018 13:40:29","304,0137","312,3668","307,50027"
"VI1PR0402MB3646","06.03.2018 13:40:39","304,8983","308,1904","306,4484"
"VI1PR0402MB3646","06.03.2018 13:40:49","304,2655","1007,3816","376,89191"
"VI1PR0402MB3646","06.03.2018 13:41:00","303,6722","321,1158","308,77998"
"VI1PR0402MB3646","06.03.2018 13:41:10","303,079","309,9577","306,41822"
"VI1PR0402MB3646","06.03.2018 13:41:20","303,8866","310,8893","306,95964"
"VI1PR0402MB3646","06.03.2018 13:41:30","304,7779","335,3555","310,53738"
"VI1PR0402MB3646","06.03.2018 13:41:40","302,6301","309,4587","305,41016"
"VI1PR0402MB3646","06.03.2018 13:41:50","302,7604","311,7217","307,42144"
"VI1PR0402MB3646","06.03.2018 13:42:00","302,4561","315,9881","307,47284"
"VI1PR0402MB3646","06.03.2018 13:42:10","304,4586","308,8907","306,89561"
"VI1PR0402MB3646","06.03.2018 13:42:20","304,3899","704,2407","345,72448"
"VI1PR0402MB3646","06.03.2018 13:42:30","304,2671","309,4315","306,851"
"VI1PR0402MB3646","06.03.2018 13:42:40","304,7594","416,2545","319,74144"
