"beserver","timestamp","durationmin","durationmax","durationavg"
"VI1PR0402MB3646","08.05.2018 00:00:52","173,922","210,2526","182,19747"
"VI1PR0402MB3646","08.05.2018 00:01:02","174,1482","188,9608","178,77635"
"VI1PR0402MB3646","08.05.2018 00:01:12","174,3597","193,3293","180,3381"
"VI1PR0402MB3646","08.05.2018 00:01:22","174,3005","216,6741","183,6632"
"VI1PR0402MB3646","08.05.2018 00:01:32","173,9173","188,1251","178,51848"
"VI1PR0402MB3646","08.05.2018 00:01:42","173,3665","188,3323","178,22737"
"VI1PR0402MB3646","08.05.2018 00:01:52","173,7444","187,1225","177,38191"
"VI1PR0402MB3646","08.05.2018 00:02:02","173,1135","189,1258","177,71895"
"VI1PR0402MB3646","08.05.2018 00:02:12","173,7511","182,583","176,59617"
"VI1PR0402MB3646","08.05.2018 00:02:22","172,6991","180,9803","176,34533"
"VI1PR0402MB3646","08.05.2018 00:02:32","172,1125","190,1217","176,99372"
"VI1PR0402MB3646","08.05.2018 00:02:42","172,1962","185,1306","176,08051"
"VI1PR0402MB3646","08.05.2018 00:02:52","175,7559","326,2158","211,09958"
"VI1PR0402MB3646","08.05.2018 00:03:02","172,1674","179,5545","175,29171"
"VI1PR0402MB3646","08.05.2018 00:03:12","172,5309","191,4787","181,79145"
"VI1PR0402MB3646","08.05.2018 00:03:22","172,8486","274,8982","187,10211"
"VI1PR0402MB3646","08.05.2018 00:03:32","173,4964","192,7952","177,92643"
"VI1PR0402MB3646","08.05.2018 00:03:42","173,114","181,1204","175,62386"
"VI1PR0402MB3646","08.05.2018 00:03:52","171,3455","217,9828","178,72809"
"VI1PR0402MB3646","08.05.2018 00:04:02","171,9518","256,4121","183,44824"
"VI1PR0402MB3646","08.05.2018 00:04:12","173,1025","184,6281","176,83034"
"VI1PR0402MB3646","08.05.2018 00:04:22","171,1106","182,1586","174,93609"
"VI1PR0402MB3646","08.05.2018 00:04:32","171,5457","188,1121","177,11284"
"VI1PR0402MB3646","08.05.2018 00:04:42","171,0214","188,9145","176,0864"
"VI1PR0402MB3646","08.05.2018 00:04:52","172,0091","186,8311","176,34124"
"VI1PR0402MB3646","08.05.2018 00:05:02","171,0526","187,7939","176,33068"
"VI1PR0402MB3646","08.05.2018 00:05:12","172,1109","192,1266","176,74106"
"VI1PR0402MB3646","08.05.2018 00:05:22","171,0775","188,7389","175,63502"
"VI1PR0402MB3646","08.05.2018 00:05:32","171,5429","177,7849","173,21839"
"VI1PR0402MB3646","08.05.2018 00:05:42","170,1131","196,9329","175,1483"
"VI1PR0402MB3646","08.05.2018 00:05:52","170,6792","181,1181","175,3491"
"VI1PR0402MB3646","08.05.2018 00:06:02","170,1096","185,1255","176,23888"
"VI1PR0402MB3646","08.05.2018 00:06:12","171,9408","187,1252","178,70226"
"VI1PR0402MB3646","08.05.2018 00:06:22","170,1143","187,4054","177,08726"
"VI1PR0402MB3646","08.05.2018 00:06:32","170,1139","180,16","174,64134"
"VI1PR0402MB3646","08.05.2018 00:06:42","171,1118","196,1513","176,82411"
"VI1PR0402MB3646","08.05.2018 00:06:52","170,1108","180,1182","172,14886"
"VI1PR0402MB3646","08.05.2018 00:07:02","90,0585","628,4165","145,37026"
"VI1PR0402MB3646","08.05.2018 00:07:14","90,5085","2451,1692","331,74533"
"VI1PR0402MB3646","08.05.2018 00:07:24","90,0589","111,072","94,46223"
"VI1PR0402MB3646","08.05.2018 00:07:34","90,0616","104,521","93,36195"
"VI1PR0402MB3646","08.05.2018 00:07:44","91,3141","109,0731","96,06094"
"VI1PR0402MB3646","08.05.2018 00:07:54","90,3909","99,0653","92,90328"
"VI1PR0402MB3646","08.05.2018 00:08:04","91,0607","105,2272","95,13082"
"VI1PR0402MB3646","08.05.2018 00:08:14","91,1361","123,4368","97,72524"
"VI1PR0402MB3646","08.05.2018 00:08:41","90,0561","103,3987","93,34892"
"VI1PR0402MB3646","08.05.2018 00:08:51","90,4359","109,0731","94,42737"
"VI1PR0402MB3646","08.05.2018 00:09:01","90,2199","96,8432","91,97985"
"VI1PR0402MB3646","08.05.2018 00:09:12","90,955","102,5062","93,60231"
"VI1PR0402MB3646","08.05.2018 00:09:22","90,5034","98,7874","93,82084"
"VI1PR0402MB3646","08.05.2018 00:09:33","90,2018","1898,7254","273,58402"
"VI1PR0402MB3646","08.05.2018 00:09:43","90,8954","100,7287","92,99249"
"VI1PR0402MB3646","08.05.2018 00:09:53","89,5055","109,0731","94,61609"
"VI1PR0402MB3646","08.05.2018 00:10:03","90,6257","260,0733","109,56367"
"VI1PR0402MB3646","08.05.2018 00:10:13","91,4239","127,0838","96,96208"
"VI1PR0402MB3646","08.05.2018 00:10:23","90,3151","102,8733","94,38728"
"VI1PR0402MB3646","08.05.2018 00:10:33","90,3001","110,0753","94,94944"
"VI1PR0402MB3646","08.05.2018 00:10:43","90,6719","102,0684","94,33916"
"VI1PR0402MB3646","08.05.2018 00:10:53","89,8287","104,3358","93,89958"
"VI1PR0402MB3646","08.05.2018 00:11:03","90,546","102,1825","94,64096"
"VI1PR0402MB3646","08.05.2018 00:11:13","90,5606","95,0626","92,62325"
"VI1PR0402MB3646","08.05.2018 00:11:23","90,0593","95,0611","92,32769"
"VI1PR0402MB3646","08.05.2018 00:11:33","91,0592","108,5291","96,21351"
"VI1PR0402MB3646","08.05.2018 00:11:43","92,1929","113,8842","98,09131"
"VI1PR0402MB3646","08.05.2018 00:11:53","89,0594","107,0718","95,19151"
"VI1PR0402MB3646","08.05.2018 00:12:03","88,0571","107,0709","92,94327"
"VI1PR0402MB3646","08.05.2018 00:12:13","91,8317","115,3727","97,16777"
"VI1PR0402MB3646","08.05.2018 00:12:23","90,8741","99,4221","94,12561"
"VI1PR0402MB3646","08.05.2018 00:12:33","89,7877","98,6156","92,88175"
"VI1PR0402MB3646","08.05.2018 00:12:43","89,8126","109,0711","94,71062"
"VI1PR0402MB3646","08.05.2018 00:12:53","91,3174","103,6616","94,85173"
"VI1PR0402MB3646","08.05.2018 00:13:03","89,745","94,0623","92,02785"
"VI1PR0402MB3646","08.05.2018 00:13:13","88,3019","94,0635","91,93496"
"VI1PR0402MB3646","08.05.2018 00:13:23","90,1579","106,0688","94,64222"
"VI1PR0402MB3646","08.05.2018 00:13:33","90,5543","125,6273","96,79164"
"VI1PR0402MB3646","08.05.2018 00:13:43","90,3869","103,6509","95,32517"
"VI1PR0402MB3646","08.05.2018 00:13:53","90,3889","111,5974","97,16069"
"VI1PR0402MB3646","08.05.2018 00:14:03","91,4049","99,6585","93,52107"
"VI1PR0402MB3646","08.05.2018 00:14:13","90,5756","109,3917","96,0648"
"VI1PR0402MB3646","08.05.2018 00:14:23","89,3495","114,8339","94,25329"
"VI1PR0402MB3646","08.05.2018 00:14:33","91,2644","457,8056","132,89328"
"VI1PR0402MB3646","08.05.2018 00:14:43","92,3531","129,6986","99,86131"
"VI1PR0402MB3646","08.05.2018 00:14:53","90,1761","99,0664","92,88878"
"VI1PR0402MB3646","08.05.2018 00:15:03","90,2922","104,6287","93,21147"
"VI1PR0402MB3646","08.05.2018 00:15:13","90,3506","100,0663","92,88778"
"VI1PR0402MB3646","08.05.2018 00:15:23","90,5049","98,061","92,87071"
"VI1PR0402MB3646","08.05.2018 00:15:33","90,2946","92,7265","91,24365"
"VI1PR0402MB3646","08.05.2018 00:15:43","90,4363","99,0606","93,77581"
"VI1PR0402MB3646","08.05.2018 00:15:53","88,517","100,8933","92,84915"
"VI1PR0402MB3646","08.05.2018 00:16:03","88,33","93,3917","90,79853"
"VI1PR0402MB3646","08.05.2018 00:16:13","89,8082","103,8862","94,12537"
"VI1PR0402MB3646","08.05.2018 00:16:23","90,0589","101,3899","93,30547"
"VI1PR0402MB3646","08.05.2018 00:16:33","90,0585","134,0868","99,1963"
"VI1PR0402MB3646","08.05.2018 00:16:43","90,3885","97,2944","93,10955"
"VI1PR0402MB3646","08.05.2018 00:16:53","90,7572","137,0881","98,00825"
"VI1PR0402MB3646","08.05.2018 00:17:03","90,0613","297,1946","113,59066"
"VI1PR0402MB3646","08.05.2018 00:17:13","90,0589","100,0683","93,56186"
"VI1PR0402MB3646","08.05.2018 00:17:23","90,6557","128,0868","98,5374"
"VI1PR0402MB3646","08.05.2018 00:17:33","89,2832","98,3279","93,44034"
"VI1PR0402MB3646","08.05.2018 00:17:43","91,0836","104,0729","94,7189"
"VI1PR0402MB3646","08.05.2018 00:17:53","89,8833","101,8435","94,38315"
"VI1PR0402MB3646","08.05.2018 00:18:03","90,2712","107,0765","94,38014"
"VI1PR0402MB3646","08.05.2018 00:18:13","90,5839","99,0657","93,92319"
"VI1PR0402MB3646","08.05.2018 00:18:23","90,2448","107,6047","93,43305"
"VI1PR0402MB3646","08.05.2018 00:18:33","90,8819","104,0654","95,15591"
"VI1PR0402MB3646","08.05.2018 00:18:43","91,6391","247,1622","119,10132"
"VI1PR0402MB3646","08.05.2018 00:18:53","89,4246","110,3508","96,98885"
"VI1PR0402MB3646","08.05.2018 00:19:03","90,7541","104,1574","95,14312"
"VI1PR0402MB3646","08.05.2018 00:19:13","90,9285","209,7907","142,56923"
"VI1PR0402MB3646","08.05.2018 00:19:23","179,6855","192,2845","184,80394"
"VI1PR0402MB3646","08.05.2018 00:19:33","179,3654","195,834","185,27565"
"VI1PR0402MB3646","08.05.2018 00:19:43","178,6561","192,1293","183,95906"
"VI1PR0402MB3646","08.05.2018 00:19:53","179,0176","188,067","182,78134"
"VI1PR0402MB3646","08.05.2018 00:20:03","177,5733","198,3697","185,48082"
"VI1PR0402MB3646","08.05.2018 00:20:13","179,4637","192,787","184,22027"
"VI1PR0402MB3646","08.05.2018 00:20:23","177,3677","384,2507","204,0327"
"VI1PR0402MB3646","08.05.2018 00:20:33","178,238","191,1243","184,72961"
"VI1PR0402MB3646","08.05.2018 00:20:43","177,5943","202,6175","185,56276"
"VI1PR0402MB3646","08.05.2018 00:20:53","177,3419","190,1224","184,40939"
"VI1PR0402MB3646","08.05.2018 00:21:03","179,5983","192,361","185,06394"
"VI1PR0402MB3646","08.05.2018 00:21:13","177,6372","189,1269","182,78795"
"VI1PR0402MB3646","08.05.2018 00:21:23","178,0197","188,7843","183,55328"
"VI1PR0402MB3646","08.05.2018 00:21:33","176,8383","202,7151","184,77902"
"VI1PR0402MB3646","08.05.2018 00:21:43","180,9953","730,8595","363,90993"
"VI1PR0402MB3646","08.05.2018 00:21:53","177,2287","212,1256","185,45341"
"VI1PR0402MB3646","08.05.2018 00:22:03","176,6777","186,4984","182,15561"
"VI1PR0402MB3646","08.05.2018 00:22:13","176,1175","188,0433","180,58286"
"VI1PR0402MB3646","08.05.2018 00:22:23","175,1164","193,2958","182,25891"
"VI1PR0402MB3646","08.05.2018 00:22:33","175,84","186,0164","179,26377"
"VI1PR0402MB3646","08.05.2018 00:22:43","176,1001","385,2952","200,58968"
"VI1PR0402MB3646","08.05.2018 00:22:53","178,5148","185,5924","181,4907"
"VI1PR0402MB3646","08.05.2018 00:23:03","177,1142","198,8485","183,48033"
"VI1PR0402MB3646","08.05.2018 00:23:13","176,7148","184,8637","180,86158"
"VI1PR0402MB3646","08.05.2018 00:23:23","176,7775","186,1202","180,98945"
"VI1PR0402MB3646","08.05.2018 00:23:33","176,4913","183,2784","179,88932"
"VI1PR0402MB3646","08.05.2018 00:23:43","175,1031","194,5376","182,62077"
"VI1PR0402MB3646","08.05.2018 00:23:53","175,0135","234,5022","186,18691"
"VI1PR0402MB3646","08.05.2018 00:24:03","175,7978","189,1254","179,52931"
"VI1PR0402MB3646","08.05.2018 00:24:13","173,4033","213,7141","185,54363"
"VI1PR0402MB3646","08.05.2018 00:24:23","174,7836","187,7355","178,33448"
"VI1PR0402MB3646","08.05.2018 00:24:33","175,1141","463,5565","207,72572"
"VI1PR0402MB3646","08.05.2018 00:24:43","175,1173","180,2923","177,36066"
"VI1PR0402MB3646","08.05.2018 00:24:53","174,6593","199,9598","183,34553"
"VI1PR0402MB3646","08.05.2018 00:25:03","177,7312","184,1426","181,11828"
"VI1PR0402MB3646","08.05.2018 00:25:13","174,4506","255,4869","198,25471"
"VI1PR0402MB3646","08.05.2018 00:25:23","192,4818","502,8323","257,54999"
"VI1PR0402MB3646","08.05.2018 00:25:33","184,0257","242,2587","204,95695"
"VI1PR0402MB3646","08.05.2018 00:25:43","174,1813","179,6563","175,86878"
"VI1PR0402MB3646","08.05.2018 00:25:53","173,0559","176,1116","174,75551"
"VI1PR0402MB3646","08.05.2018 00:26:03","173,4096","190,3273","180,12395"
"VI1PR0402MB3646","08.05.2018 00:26:13","173,2138","186,3512","177,94223"
"VI1PR0402MB3646","08.05.2018 00:26:23","174,1107","181,7677","176,40226"
"VI1PR0402MB3646","08.05.2018 00:26:33","173,4381","182,5754","178,59136"
"VI1PR0402MB3646","08.05.2018 00:26:43","173,5987","179,8178","175,32501"
"VI1PR0402MB3646","08.05.2018 00:26:53","173,7723","210,6398","183,33207"
"VI1PR0402MB3646","08.05.2018 00:27:03","175,1165","439,4162","225,56245"
"VI1PR0402MB3646","08.05.2018 00:27:13","172,3328","184,2443","176,23064"
"VI1PR0402MB3646","08.05.2018 00:27:23","172,5349","184,1007","175,68882"
"VI1PR0402MB3646","08.05.2018 00:27:33","172,2344","181,4469","174,14724"
"VI1PR0402MB3646","08.05.2018 00:27:44","172,1117","280,186","205,74071"
"VI1PR0402MB3646","08.05.2018 00:27:54","181,5795","270,1794","201,97951"
"VI1PR0402MB3646","08.05.2018 00:28:04","173,1143","223,8561","190,11095"
"VI1PR0402MB3646","08.05.2018 00:28:14","174,1166","261,1735","197,56984"
"VI1PR0402MB3646","08.05.2018 00:28:24","173,1155","466,309","217,64446"
"VI1PR0402MB3646","08.05.2018 00:28:34","171,1158","184,1216","176,01507"
"VI1PR0402MB3646","08.05.2018 00:28:44","170,1136","187,9289","174,74681"
"VI1PR0402MB3646","08.05.2018 00:28:54","170,7384","220,1483","178,86191"
"VI1PR0402MB3646","08.05.2018 00:29:04","172,3845","184,1204","176,168"
"VI1PR0402MB3646","08.05.2018 00:29:14","172,1129","190,1268","176,13452"
"VI1PR0402MB3646","08.05.2018 00:29:24","171,1118","182,1317","176,36247"
"VI1PR0402MB3646","08.05.2018 00:29:34","171,126","188,1448","174,88543"
"VI1PR0402MB3646","08.05.2018 00:29:44","171,1154","196,0901","177,6448"
"VI1PR0402MB3646","08.05.2018 00:29:54","171,1157","173,479","172,31502"
"VI1PR0402MB3646","08.05.2018 00:30:04","171,9048","189,1265","175,23215"
"VI1PR0402MB3646","08.05.2018 00:30:14","171,1158","205,1371","179,49124"
"VI1PR0402MB3646","08.05.2018 00:30:24","171,7963","205,6514","185,09474"
"VI1PR0402MB3646","08.05.2018 00:30:34","171,1142","196,8512","182,63571"
"VI1PR0402MB3646","08.05.2018 00:30:44","171,6242","450,7994","207,71289"
"VI1PR0402MB3646","08.05.2018 00:30:54","171,1142","195,9839","180,72944"
"VI1PR0402MB3646","08.05.2018 00:31:04","170,6105","188,1243","177,69844"
"VI1PR0402MB3646","08.05.2018 00:31:14","171,1127","199,0369","181,57115"
"VI1PR0402MB3646","08.05.2018 00:31:24","171,1146","197,1306","180,9749"
"VI1PR0402MB3646","08.05.2018 00:31:34","170,1116","190,1244","178,31845"
"VI1PR0402MB3646","08.05.2018 00:31:44","172,1109","208,1367","186,42313"
"VI1PR0402MB3646","08.05.2018 00:31:54","170,112","309,2049","198,93221"
"VI1PR0402MB3646","08.05.2018 00:32:04","170,112","216,1436","191,1235"
"VI1PR0402MB3646","08.05.2018 00:32:14","170,112","385,2549","210,7143"
"VI1PR0402MB3646","08.05.2018 00:32:24","178,118","192,127","187,92528"
"VI1PR0402MB3646","08.05.2018 00:32:34","175,1153","586,389","227,75058"
"VI1PR0402MB3646","08.05.2018 00:32:44","172,1141","190,1264","184,87188"
"VI1PR0402MB3646","08.05.2018 00:32:54","178,1181","278,1856","195,22936"
"VI1PR0402MB3646","08.05.2018 00:33:04","174,1166","192,5201","185,88079"
"VI1PR0402MB3646","08.05.2018 00:33:14","183,1214","189,1237","185,5262"
