#TYPE System.Management.Automation.PSCustomObject
"statusavg2min","Total","Lost","Avg","RemoteIP","timestamp","Min","Max","statuspacketloss","statusmax2avg"
"0","15","5","19","13.107.4.52","20181115041959","27","29","1","0"
"0","15","3","22","13.107.4.52","20181115042013","26","28","1","0"
"0","15","3","22","13.107.4.52","20181115042028","26","28","1","0"
"0","15","4","20","13.107.4.52","20181115042043","27","28","1","0"
"0","15","3","22","13.107.4.52","20181115042058","26","29","1","0"
"0","15","3","22","13.107.4.52","20181115042113","27","30","1","0"
"0","15","5","19","13.107.4.52","20181115042128","27","31","1","0"
"0","15","1","26","13.107.4.52","20181115042143","27","29","0","0"
"0","15","2","24","13.107.4.52","20181115042158","27","32","1","0"
"0","15","2","24","13.107.4.52","20181115042213","26","28","1","0"
"0","15","2","24","13.107.4.52","20181115042228","27","29","1","0"
"0","15","4","20","13.107.4.52","20181115042243","27","29","1","0"
"0","15","0","28","13.107.4.52","20181115042258","27","30","0","0"
"0","15","7","14","13.107.4.52","20181115042313","27","28","1","0"
"0","15","2","24","13.107.4.52","20181115042328","27","30","1","0"
"0","15","2","24","13.107.4.52","20181115042343","27","29","1","0"
"0","15","4","21","13.107.4.52","20181115042358","27","34","1","0"
"0","15","1","26","13.107.4.52","20181115042413","27","31","0","0"
"0","15","1","26","13.107.4.52","20181115042428","27","29","0","0"
"0","15","2","24","13.107.4.52","20181115042443","26","28","1","0"
"0","15","0","28","13.107.4.52","20181115042458","26","30","0","0"
"0","15","3","22","13.107.4.52","20181115042513","27","30","1","0"
"0","15","1","26","13.107.4.52","20181115042528","27","28","0","0"
"0","15","3","23","13.107.4.52","20181115042543","27","31","1","0"
"0","15","3","22","13.107.4.52","20181115042558","27","28","1","0"
"0","15","0","28","13.107.4.52","20181115042613","27","29","0","0"
"0","15","2","25","13.107.4.52","20181115042628","27","30","1","0"
