"CallStartTime","PacketLossRate","RoundTripLatencyInMs","PacketsSent","PacketsReceived","AverageJitterInMs","PacketReorderRatio"
"04.05.2018 18:35:09","0","23","283","283","7,18401","0"
"04.05.2018 18:41:14","0","24","852","852","5,200954","0"
"04.05.2018 18:35:09","0","23","283","283","7,18401","0"
"04.05.2018 18:35:09","0","23","283","283","7,18401","0"
"04.05.2018 18:45:15","0","27,5","283","283","5,595415","0"
"04.05.2018 18:46:03","0","23","850","850","4,610862","0"
"07.05.2018 11:19:35","0","30","283","283","8,380434","0"
"07.05.2018 11:20:34","0","25","283","283","11,77756","0"
"07.05.2018 11:23:25","0","24,5","283","283","7,310912","0"
"07.05.2018 11:23:58","0","24","283","283","13,51959","0"
"07.05.2018 11:24:39","0","24","851","851","13,90868","0"
"07.05.2018 11:26:02","0","29,5","283","283","5,799522","0"
"07.05.2018 11:27:33","0","26","851","851","8,227014","0"
"07.05.2018 11:27:59","0","29","851","851","9,500827","0"
"07.05.2018 11:28:25","0","24,5","283","283","6,492446","0"
"07.05.2018 11:29:43","0","24","851","851","10,92941","0"
"07.05.2018 11:30:12","0","26","851","851","9,084611","0"
"07.05.2018 11:30:39","0","29","283","283","7,764318","0"
"07.05.2018 11:31:04","0","29","851","851","8,926963","0"
"07.05.2018 11:31:31","0","25,5","851","851","12,7462","0"
"07.05.2018 11:31:57","0","31,5","851","851","4,379536","0"
"07.05.2018 11:32:23","0","29,5","851","851","12,38081","0"
"07.05.2018 11:32:49","0","29,5","851","851","11,37736","0"
"07.05.2018 11:33:15","0","24,5","283","283","8,765508","0"
"07.05.2018 11:33:41","0","31","851","851","13,16171","0"
"07.05.2018 11:34:07","0","31","283","283","14,62525","0"
"07.05.2018 11:34:33","0","34,5","851","851","13,3027","0"
"07.05.2018 11:35:00","0","33","851","851","18,98742","0"
"07.05.2018 11:35:25","0","32","283","283","16,26241","0"
"07.05.2018 11:35:52","0","31","851","851","10,73489","0"
"07.05.2018 11:36:18","0","31,5","283","283","14,16871","0"
"07.05.2018 11:36:44","0","27","283","283","10,95098","0"
"07.05.2018 11:37:10","0","27,5","851","851","16,51442","0"
"07.05.2018 11:37:36","0","26","851","851","16,66763","0"
"07.05.2018 11:38:02","0","32","283","283","18,55299","0"
"07.05.2018 11:38:28","0","32,5","851","851","17,95256","0"
"07.05.2018 11:38:54","0","28,5","851","851","16,57483","0"
"07.05.2018 11:39:21","0","33,5","283","283","11,55501","0"
"07.05.2018 11:39:47","0","33,5","283","283","18,74961","0"
