"AverageJitterInMsAvg","RoundTripLatencyMaxInMs","Packetssentcount","PacketLossRateMax","RoundTripLatencyAvgInMs","PacketLossRateAvg","PacketReorderRatioAvg","PacketReorderRatioMax","Packetssentsum","AverageJitterInMsMax"
"4,610862","23","1","0","23","0","0","0","850","4,610862"
"8,380434","30","1","0","30","0","0","0","283","8,380434"
"11,77756","25","1","0","25","0","0","0","283","11,77756"
,,"0",,,,,,"0",
"7,310912","24,5","1","0","24,5","0","0","0","283","7,310912"
"13,51959","24","1","0","24","0","0","0","283","13,51959"
"13,90868","24","1","0","24","0","0","0","851","13,90868"
"5,799522","29,5","1","0","29,5","0","0","0","283","5,799522"
"8,227014","26","1","0","26","0","0","0","851","8,227014"
"9,500827","29","1","0","29","0","0","0","851","9,500827"
"6,492446","24,5","1","0","24,5","0","0","0","283","6,492446"
,,"0",,,,,,"0",
"10,92941","24","1","0","24","0","0","0","851","10,92941"
"9,084611","26","1","0","26","0","0","0","851","9,084611"
"7,764318","29","1","0","29","0","0","0","283","7,764318"
"8,926963","29","1","0","29","0","0","0","851","8,926963"
"12,7462","25,5","1","0","25,5","0","0","0","851","12,7462"
"4,379536","31,5","1","0","31,5","0","0","0","851","4,379536"
"12,38081","29,5","1","0","29,5","0","0","0","851","12,38081"
"11,37736","29,5","1","0","29,5","0","0","0","851","11,37736"
"8,765508","24,5","1","0","24,5","0","0","0","283","8,765508"
"13,16171","31","1","0","31","0","0","0","851","13,16171"
"14,62525","31","1","0","31","0","0","0","283","14,62525"
"13,3027","34,5","1","0","34,5","0","0","0","851","13,3027"
"18,98742","33","1","0","33","0","0","0","851","18,98742"
"16,26241","32","1","0","32","0","0","0","283","16,26241"
"10,73489","31","1","0","31","0","0","0","851","10,73489"
"14,16871","31,5","1","0","31,5","0","0","0","283","14,16871"
"10,95098","27","1","0","27","0","0","0","283","10,95098"
"16,51442","27,5","1","0","27,5","0","0","0","851","16,51442"
"16,66763","26","1","0","26","0","0","0","851","16,66763"
"18,55299","32","1","0","32","0","0","0","283","18,55299"
"17,95256","32,5","1","0","32,5","0","0","0","851","17,95256"
"16,57483","28,5","1","0","28,5","0","0","0","851","16,57483"
"11,55501","33,5","1","0","33,5","0","0","0","283","11,55501"
"18,74961","33,5","1","0","33,5","0","0","0","283","18,74961"
"70,40972","50","1","0","50","0","0","0","283","70,40972"
"36,96254","33,5","1","0","33,5","0","0","0","283","36,96254"
"22,75463","38,5","1","0","38,5","0","0","0","850","22,75463"
"17,35453","39","1","0","39","0","0","0","851","17,35453"
"15,91547","29","1","0","29","0","0","0","851","15,91547"
