"CallStartTime","PacketLossRate","RoundTripLatencyInMs","PacketsSent","PacketsReceived","AverageJitterInMs","PacketReorderRatio"
"10.12.2018 10:49:23","0,00117785630153121","18,5","849","848","6,53267","0"
"10.12.2018 10:49:47","0,00117785630153121","22","849","848","6,562115","0"
"10.12.2018 10:50:31","0,00117785630153121","18","849","848","10,67317","0"
"10.12.2018 10:50:57","0,00117785630153121","19,5","849","848","7,615061","0"
"10.12.2018 10:51:24","0,00117785630153121","18,5","849","848","7,186656","0"
"10.12.2018 10:51:50","0,00117785630153121","18","849","848","7,033747","0"
"10.12.2018 10:52:17","0,00117785630153121","19","849","848","7,369407","0"
"10.12.2018 10:52:44","0,00117785630153121","18,5","849","848","5,908998","0"
"10.12.2018 10:53:11","0,00117785630153121","18","849","848","7,57991","0"
"10.12.2018 10:53:38","0,0304","62","625","606","428,0768","0,05481727"
"10.12.2018 10:54:05","0,00353356890459364","41","849","846","26,62466","0"
"10.12.2018 10:54:31","0,00117785630153121","18,5","849","848","43,12036","0"
"10.12.2018 10:54:59","0,0475609756097561","44","820","781","49,43697","0"
"10.12.2018 10:55:25","0,0598052851182197","26,5","719","676","30,15523","0"
"10.12.2018 10:55:53","0,00117785630153121","19,5","849","848","29,14758","0"
"10.12.2018 10:56:17","0,00117785630153121","19","849","848","24,35741","0"
"10.12.2018 10:56:45","0,00117785630153121","20,5","849","848","45,81149","0"
"10.12.2018 10:57:11","0,00235571260306243","19,5","849","847","22,86222","0"
"10.12.2018 10:57:38","0,00117785630153121","20,5","849","848","7,27899","0"
"10.12.2018 10:58:04","0,00117785630153121","21","849","848","7,535031","0"
"10.12.2018 10:58:32","0,00117785630153121","18,5","849","848","7,474592","0"
"10.12.2018 10:58:58","0,00117785630153121","19,5","849","848","8,567459","0"
"10.12.2018 10:59:25","0,00117785630153121","21","849","848","9,537526","0"
"10.12.2018 10:59:51","0,00117785630153121","20","849","848","7,880676","0"
"10.12.2018 11:00:19","0,00117785630153121","19,5","849","848","9,169514","0"
"10.12.2018 11:00:45","0,00117785630153121","17,5","849","848","8,094243","0"
"10.12.2018 11:01:12","0,00117785630153121","23","849","848","12,39138","0"
"10.12.2018 11:01:38","0,00117785630153121","20","849","848","9,056152","0"
"10.12.2018 11:02:02","0,00117785630153121","31,5","849","848","9,973146","0"
"10.12.2018 11:02:28","0,00152905198776758","19","654","653","16,17506","0"
"10.12.2018 11:02:56","0,00235571260306243","30,5","849","847","7,300574","0"
"10.12.2018 11:03:22","0,00117785630153121","20,5","849","848","11,8702","0"
"10.12.2018 11:03:49","0,00117785630153121","19","849","848","8,354193","0"
"10.12.2018 11:04:15","0,00117785630153121","33","849","848","8,988266","0"
"10.12.2018 11:04:43","0,00117785630153121","19","849","848","10,40429","0"
"10.12.2018 11:05:09","0,00117785630153121","30","849","848","11,38264","0"
"10.12.2018 11:05:36","0,00235571260306243","29,5","849","847","7,431685","0"
"10.12.2018 11:06:03","0,00235571260306243","30","849","847","10,03404","0"
"10.12.2018 11:06:30","0,00235571260306243","29","849","847","8,023763","0"
"10.12.2018 11:06:57","0,00117785630153121","19,5","849","848","8,528427","0"
"10.12.2018 11:07:24","0,00117785630153121","21,5","849","848","12,34632","0"
"10.12.2018 11:07:47","0,00117785630153121","17","849","848","7,748757","0"
"10.12.2018 11:08:14","0,00117785630153121","20","849","848","14,52995","0"
"10.12.2018 11:08:40","0,00117785630153121","96,5","849","848","118,8118","0"
"10.12.2018 11:09:07","0,00706713780918728","18,5","849","843","119,0855","0"
"10.12.2018 11:09:33","0,00117785630153121","109,5","849","848","129,31","0"
"10.12.2018 11:10:00","0,00117785630153121","21","849","848","51,16853","0"
"10.12.2018 11:10:26","0,00117785630153121","17","849","848","9,141162","0"
"10.12.2018 11:10:54","0,00117785630153121","18","849","848","6,741651","0"
"10.12.2018 11:11:21","0,00117785630153121","19","849","848","8,732355","0"
"10.12.2018 11:11:48","0,00117785630153121","19","849","848","11,88372","0"
"10.12.2018 11:12:15","0,00117785630153121","17,5","849","848","7,274196","0"
"10.12.2018 11:12:41","0,00117785630153121","24,5","849","848","6,420089","0"
"10.12.2018 11:13:08","0,00117785630153121","20","849","848","7,717476","0"
"10.12.2018 11:13:33","0,00117785630153121","17","849","848","7,112708","0"
"10.12.2018 11:13:59","0,00117785630153121","18,5","849","848","12,11493","0"
"10.12.2018 11:14:26","0,00588928150765607","22","849","844","14,44998","0"
"10.12.2018 11:14:52","0,00117785630153121","25","849","848","13,25184","0"
"10.12.2018 11:15:19","0,00353356890459364","21,5","849","846","9,513533","0"
"10.12.2018 11:15:46","0,00117785630153121","19","849","848","7,75582","0"
"10.12.2018 11:16:14","0,00117785630153121","19,5","849","848","8,323991","0"
"10.12.2018 11:16:41","0,00117785630153121","22","849","848","14,45314","0"
"10.12.2018 11:17:07","0,00117785630153121","25","849","848","15,31035","0"
