"remoteudpport","minroundtrip","successrttcount","remoteip","answerreceived","averagertt","maxroundtrip"
"3478","14","5","13.107.8.2","True","16","24"
"3478","17","5","13.107.8.2","True","34","61"
"3478","14","5","13.107.8.2","True","15","16"
"3478","13","5","13.107.8.2","True","17","26"
"3478","13","5","13.107.8.2","True","14","14"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","16","5","13.107.8.2","True","28","31"
"3478","16","5","13.107.8.2","True","28","31"
"3478","24","5","13.107.8.2","True","26","28"
"3478","22","5","13.107.8.2","True","27","31"
"3478","16","5","13.107.8.2","True","28","36"
"3478","16","5","13.107.8.2","True","25","31"
"3478","28","5","13.107.8.2","True","30","36"
"3478","28","5","13.107.8.2","True","28","28"
"3478","26","5","13.107.8.2","True","28","32"
"3478","28","5","13.107.8.2","True","30","32"
"3478","28","5","13.107.8.2","True","29","32"
"3478","28","5","13.107.8.2","True","28","28"
"3478","28","5","13.107.8.2","True","28","28"
"3478","20","5","13.107.8.2","True","22","29"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","20","5","13.107.8.2","True","21","21"
"3478","17","5","13.107.8.2","True","18","19"
"3478","20","5","13.107.8.2","True","21","21"
"3478","17","5","13.107.8.2","True","18","20"
"3478","21","5","13.107.8.2","True","22","23"
"3478","39","5","13.107.8.2","True","47","75"
"3478","46","5","13.107.8.2","True","51","54"
"3478","53","5","13.107.8.2","True","55","58"
"3478","28","5","13.107.8.2","True","38","44"
"3478","51","5","13.107.8.2","True","55","57"
"3478","0","5","nawsfbedge.netatwork.de","True","13","31"
"3478","0","5","nawsfbedge.netatwork.de","True","4","16"
"3478","33","5","13.107.8.2","True","35","38"
"3478","38","5","13.107.8.2","True","41","43"
"3478","34","5","13.107.8.2","True","36","39"
"3478","37","5","13.107.8.2","True","40","44"
"3478","39","5","13.107.8.2","True","41","44"
"3478","39","5","13.107.8.2","True","42","44"
"3478","33","5","13.107.8.2","True","35","38"
"3478","34","5","13.107.8.2","True","37","41"
"3478","40","5","13.107.8.2","True","49","65"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","21","5","13.107.8.2","True","28","55"
"3478","37","5","13.107.8.2","True","38","42"
"3478","27","5","13.107.8.2","True","29","32"
"3478","34","5","13.107.8.2","True","39","48"
"3478","40","5","13.107.8.2","True","44","51"
"3478","18","5","13.107.8.2","True","20","21"
"3478","26","5","13.107.8.2","True","27","29"
"3478","9999","0","192.168.100.180","False","0","0"
"3478","9999","0","212.184.5.204","False","0","0"
"3478","9999","0","212.184.5.202","False","0","0"
"3478","9999","0","51.144.81.147","False","0","0"
"3480","9999","0","51.144.81.147","False","0","0"
"3480","9999","0","51.144.81.147","False","0","0"
"3478","22","5","52.113.193.5","True","23","25"
"3478","28","5","13.107.8.2","True","40","55"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","33","5","13.107.8.2","True","55","135"
"3478","22","5","13.107.8.2","True","27","42"
"3478","22","5","13.107.8.2","True","28","33"
"3478","22","5","13.107.8.2","True","25","34"
"3478","23","5","13.107.8.2","True","25","28"
"3478","23","5","13.107.8.2","True","24","25"
"3478","23","5","13.107.8.2","True","25","29"
"3478","21","5","13.107.8.2","True","25","32"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","23","5","13.107.8.2","True","25","31"
"3478","22","5","13.107.8.2","True","24","26"
"3478","22","5","13.107.8.2","True","26","33"
"3478","23","5","13.107.8.2","True","32","58"
"3478","21","5","13.107.8.2","True","23","26"
"3478","22","5","13.107.8.2","True","29","47"
"3478","22","5","13.107.8.2","True","24","27"
"3478","22","5","13.107.8.2","True","32","66"
"3478","23","5","13.107.8.2","True","25","27"
"3478","23","5","13.107.8.2","True","25","27"
"3478","22","5","13.107.8.2","True","27","36"
"3478","25","5","13.107.8.2","True","33","49"
"3478","25","5","13.107.8.2","True","72","116"
"3478","20","5","13.107.8.2","True","22","23"
"3478","23","5","13.107.8.2","True","33","63"
"3478","23","5","13.107.8.2","True","27","33"
"3478","22","5","13.107.8.2","True","23","24"
"3478","23","5","13.107.8.2","True","32","51"
"3478","21","5","13.107.8.2","True","23","26"
"3478","23","5","13.107.8.2","True","25","29"
"3478","87","5","13.107.8.2","True","95","108"
"3478","58","5","13.107.8.2","True","72","81"
"3478","24","5","13.107.8.2","True","38","77"
"3478","22","5","13.107.8.2","True","28","46"
"3478","22","5","13.107.8.2","True","24","26"
