"remoteudpport","minroundtrip","successrttcount","remoteip","answerreceived","averagertt","maxroundtrip"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","63","5","13.107.8.2","True","119","168"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","78","5","13.107.8.2","True","88","94"
"3478","281","2","13.107.8.2","True","360","438"
"3478","109","5","13.107.8.2","True","119","141"
"3478","21","5","13.107.8.2","True","40","77"
"3478","21","5","13.107.8.2","True","39","87"
"3478","19","5","13.107.8.2","True","72","274"
"3478","24","5","13.107.8.2","True","25","27"
"3478","21","5","13.107.8.2","True","25","27"
"3478","24","5","13.107.8.2","True","55","165"
"3478","19","5","13.107.8.2","True","24","36"
"3478","20","5","13.107.8.2","True","35","62"
"3478","25","5","13.107.8.2","True","29","33"
"3478","20","5","13.107.8.2","True","26","37"
"3478","19","5","13.107.8.2","True","73","265"
"3478","22","5","13.107.8.2","True","74","164"
"3478","23","5","13.107.8.2","True","70","252"
"3478","18","5","13.107.8.2","True","21","24"
"3478","20","5","13.107.8.2","True","26","41"
"3478","19","5","13.107.8.2","True","49","165"
"3478","20","5","13.107.8.2","True","27","39"
"3478","19","5","13.107.8.2","True","44","135"
"3478","20","5","13.107.8.2","True","25","34"
"3478","19","5","13.107.8.2","True","23","31"
"3478","20","5","13.107.8.2","True","70","255"
"3478","20","5","13.107.8.2","True","29","43"
"3478","20","5","13.107.8.2","True","25","33"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","25","5","13.107.8.2","True","160","349"
"3478","20","5","13.107.8.2","True","73","271"
"3478","20","5","13.107.8.2","True","23","27"
"3478","18","5","13.107.8.2","True","22","26"
"3478","23","5","13.107.8.2","True","75","273"
"3478","16","5","13.107.8.2","True","73","222"
"3478","26","5","13.107.8.2","True","31","42"
"3478","19","5","13.107.8.2","True","27","44"
"3478","20","5","13.107.8.2","True","34","43"
"3478","21","5","13.107.8.2","True","26","29"
"3478","21","5","13.107.8.2","True","104","299"
"3478","24","5","13.107.8.2","True","76","281"
"3478","18","5","13.107.8.2","True","23","30"
"3478","22","5","13.107.8.2","True","31","39"
"3478","21","5","13.107.8.2","True","57","168"
"3478","27","5","13.107.8.2","True","97","218"
"3478","22","5","13.107.8.2","True","28","34"
"3478","23","5","13.107.8.2","True","27","35"
"3478","21","5","13.107.8.2","True","43","123"
"3478","18","5","13.107.8.2","True","24","29"
"3478","23","4","13.107.8.2","True","36","74"
"3478","19","5","13.107.8.2","True","29","42"
"3478","19","5","13.107.8.2","True","47","140"
"3478","22","5","13.107.8.2","True","30","41"
"3478","21","5","13.107.8.2","True","101","391"
"3478","26","5","13.107.8.2","True","31","37"
